AGE,COUNT,EVENT_TYPE,POPULATION,RACE,Non-Hispanic Race,RATE,SEX,SITE,YEAR
60-64,1897,Incidence,10398926,All Other Races,All Races,18.2,Female,Oral Cavity and Pharynx,2017
65-69,1938,Incidence,8884407,All Other Races,All Races,21.8,Female,Oral Cavity and Pharynx,2017
70-74,1577,Incidence,6881542,All Other Races,All Races,22.9,Female,Oral Cavity and Pharynx,2017
75-79,1308,Incidence,4833186,All Other Races,All Races,27.1,Female,Oral Cavity and Pharynx,2017
80-84,989,Incidence,3455501,All Other Races,All Races,28.6,Female,Oral Cavity and Pharynx,2017
85+,1237,Incidence,4181647,All Other Races,All Races,29.6,Female,Oral Cavity and Pharynx,2017
<1,~,Incidence,1896804,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2017
1-4,~,Incidence,7794796,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2018
10-14,29,Incidence,10223894,All Other Races,All Races,0.3,Female,Oral Cavity and Pharynx,2018
15-19,41,Incidence,10314076,All Other Races,All Races,0.4,Female,Oral Cavity and Pharynx,2018
20-24,65,Incidence,10652877,All Other Races,All Races,0.6,Female,Oral Cavity and Pharynx,2018
25-29,121,Incidence,11535821,All Other Races,All Races,1,Female,Oral Cavity and Pharynx,2018
30-34,162,Incidence,10945565,All Other Races,All Races,1.5,Female,Oral Cavity and Pharynx,2018
35-39,254,Incidence,10767228,All Other Races,All Races,2.4,Female,Oral Cavity and Pharynx,2018
40-44,360,Incidence,9901383,All Other Races,All Races,3.6,Female,Oral Cavity and Pharynx,2018
45-49,629,Incidence,10466104,All Other Races,All Races,6,Female,Oral Cavity and Pharynx,2018
5-9,~,Incidence,9888217,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2018
50-54,1121,Incidence,10593345,All Other Races,All Races,10.6,Female,Oral Cavity and Pharynx,2018
55-59,1762,Incidence,11257833,All Other Races,All Races,15.7,Female,Oral Cavity and Pharynx,2018
60-64,1929,Incidence,10585539,All Other Races,All Races,18.2,Female,Oral Cavity and Pharynx,2018
65-69,1931,Incidence,9041390,All Other Races,All Races,21.4,Female,Oral Cavity and Pharynx,2018
70-74,1721,Incidence,7180687,All Other Races,All Races,24,Female,Oral Cavity and Pharynx,2018
75-79,1410,Incidence,5115395,All Other Races,All Races,27.6,Female,Oral Cavity and Pharynx,2018
80-84,1081,Incidence,3536898,All Other Races,All Races,30.6,Female,Oral Cavity and Pharynx,2018
85+,1296,Incidence,4205508,All Other Races,All Races,30.8,Female,Oral Cavity and Pharynx,2018
<1,~,Incidence,1871130,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2018
1-4,~,Incidence,7728847,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2019
10-14,30,Incidence,10190891,All Other Races,All Races,0.3,Female,Oral Cavity and Pharynx,2019
15-19,42,Incidence,10313575,All Other Races,All Races,0.4,Female,Oral Cavity and Pharynx,2019
20-24,73,Incidence,10577124,All Other Races,All Races,0.7,Female,Oral Cavity and Pharynx,2019
25-29,124,Incidence,11518714,All Other Races,All Races,1.1,Female,Oral Cavity and Pharynx,2019
30-34,189,Incidence,11093732,All Other Races,All Races,1.7,Female,Oral Cavity and Pharynx,2019
35-39,264,Incidence,10861340,All Other Races,All Races,2.4,Female,Oral Cavity and Pharynx,2019
40-44,355,Incidence,10014341,All Other Races,All Races,3.5,Female,Oral Cavity and Pharynx,2019
45-49,626,Incidence,10307804,All Other Races,All Races,6.1,Female,Oral Cavity and Pharynx,2019
5-9,~,Incidence,9886447,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2019
50-54,1024,Incidence,10387588,All Other Races,All Races,9.9,Female,Oral Cavity and Pharynx,2019
55-59,1645,Incidence,11232044,All Other Races,All Races,14.6,Female,Oral Cavity and Pharynx,2019
60-64,1986,Incidence,10708826,All Other Races,All Races,18.5,Female,Oral Cavity and Pharynx,2019
65-69,2052,Incidence,9252566,All Other Races,All Races,22.2,Female,Oral Cavity and Pharynx,2019
70-74,1821,Incidence,7527818,All Other Races,All Races,24.2,Female,Oral Cavity and Pharynx,2019
75-79,1468,Incidence,5333117,All Other Races,All Races,27.5,Female,Oral Cavity and Pharynx,2019
80-84,1092,Incidence,3636357,All Other Races,All Races,30,Female,Oral Cavity and Pharynx,2019
85+,1216,Incidence,4225260,All Other Races,All Races,28.8,Female,Oral Cavity and Pharynx,2019
<1,~,Incidence,1841226,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2019
1-4,~,Incidence,7377169,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2020
10-14,17,Incidence,9842471,All Other Races,All Races,0.2,Female,Oral Cavity and Pharynx,2020
15-19,44,Incidence,9955751,All Other Races,All Races,0.4,Female,Oral Cavity and Pharynx,2020
20-24,61,Incidence,10239813,All Other Races,All Races,0.6,Female,Oral Cavity and Pharynx,2020
25-29,127,Incidence,11016549,All Other Races,All Races,1.2,Female,Oral Cavity and Pharynx,2020
30-34,194,Incidence,10939868,All Other Races,All Races,1.8,Female,Oral Cavity and Pharynx,2020
35-39,250,Incidence,10569058,All Other Races,All Races,2.4,Female,Oral Cavity and Pharynx,2020
40-44,322,Incidence,9894900,All Other Races,All Races,3.3,Female,Oral Cavity and Pharynx,2020
45-49,533,Incidence,9795351,All Other Races,All Races,5.4,Female,Oral Cavity and Pharynx,2020
5-9,~,Incidence,9584236,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2020
50-54,954,Incidence,10041181,All Other Races,All Races,9.5,Female,Oral Cavity and Pharynx,2020
55-59,1528,Incidence,10766098,All Other Races,All Races,14.2,Female,Oral Cavity and Pharynx,2020
60-64,1967,Incidence,10504315,All Other Races,All Races,18.7,Female,Oral Cavity and Pharynx,2020
65-69,1821,Incidence,9201195,All Other Races,All Races,19.8,Female,Oral Cavity and Pharynx,2020
70-74,1764,Incidence,7649636,All Other Races,All Races,23.1,Female,Oral Cavity and Pharynx,2020
75-79,1422,Incidence,5352056,All Other Races,All Races,26.6,Female,Oral Cavity and Pharynx,2020
80-84,1017,Incidence,3609181,All Other Races,All Races,28.2,Female,Oral Cavity and Pharynx,2020
85+,1111,Incidence,4130366,All Other Races,All Races,26.9,Female,Oral Cavity and Pharynx,2020
<1,~,Incidence,1770114,All Other Races,All Races,,Female,Oral Cavity and Pharynx,2020
1-4,~,Incidence,1988966,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
10-14,~,Incidence,2533728,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
15-19,~,Incidence,2390957,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
20-24,~,Incidence,2325062,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2017
25-29,18,Incidence,2273007,Hispanic of any race,Hispanic of any race,0.8,Female,Oral Cavity and Pharynx,2017
