AREA,AGE_ADJUSTED_RATE,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_RATE
Mississippi,6.5,Incidence,1531631,All Races,Female,Oral Cavity and Pharynx,2011,7.4
Mississippi,6.3,Incidence,1534497,All Races,Female,Oral Cavity and Pharynx,2012,7.3
Mississippi,7.1,Incidence,1536846,All Races,Female,Oral Cavity and Pharynx,2013,8.4
Mississippi,7,Incidence,1538890,All Races,Female,Oral Cavity and Pharynx,2014,8.3
Mississippi,6.1,Incidence,1539560,All Races,Female,Oral Cavity and Pharynx,2015,7.6
Mississippi,7.8,Incidence,1540132,All Races,Female,Oral Cavity and Pharynx,2016,9.6
Mississippi,7.1,Incidence,1539672,All Races,Female,Oral Cavity and Pharynx,2017,8.8
Mississippi,6.3,Incidence,1536005,All Races,Female,Oral Cavity and Pharynx,2018,8.1
Mississippi,6.4,Incidence,1534587,All Races,Female,Oral Cavity and Pharynx,2019,8.3
Mississippi,6.6,Incidence,1530971,All Races,Female,Oral Cavity and Pharynx,2020,8.6
Missouri,6.6,Incidence,3065745,All Races,Female,Oral Cavity and Pharynx,2011,8
Missouri,6.6,Incidence,3072496,All Races,Female,Oral Cavity and Pharynx,2012,8.2
Missouri,6.9,Incidence,3079277,All Races,Female,Oral Cavity and Pharynx,2013,8.7
Missouri,6,Incidence,3086784,All Races,Female,Oral Cavity and Pharynx,2014,7.7
Missouri,6.8,Incidence,3094077,All Races,Female,Oral Cavity and Pharynx,2015,8.7
Missouri,6.5,Incidence,3101501,All Races,Female,Oral Cavity and Pharynx,2016,8.4
Missouri,6.4,Incidence,3111381,All Races,Female,Oral Cavity and Pharynx,2017,8.4
Missouri,7,Incidence,3119006,All Races,Female,Oral Cavity and Pharynx,2018,9.3
Missouri,5.7,Incidence,3127846,All Races,Female,Oral Cavity and Pharynx,2019,7.8
Missouri,6.7,Incidence,3133825,All Races,Female,Oral Cavity and Pharynx,2020,8.8
Montana,8.6,Incidence,497009,All Races,Female,Oral Cavity and Pharynx,2011,10.5
Montana,7.3,Incidence,499969,All Races,Female,Oral Cavity and Pharynx,2012,9.8
Montana,5.7,Incidence,504489,All Races,Female,Oral Cavity and Pharynx,2013,7.3
Montana,5.8,Incidence,508360,All Races,Female,Oral Cavity and Pharynx,2014,7.7
Montana,6.5,Incidence,512294,All Races,Female,Oral Cavity and Pharynx,2015,8.4
Montana,6.7,Incidence,517417,All Races,Female,Oral Cavity and Pharynx,2016,9.3
Montana,7,Incidence,523400,All Races,Female,Oral Cavity and Pharynx,2017,8.6
Montana,6.4,Incidence,527421,All Races,Female,Oral Cavity and Pharynx,2018,8.7
Montana,7.4,Incidence,531486,All Races,Female,Oral Cavity and Pharynx,2019,10.7
Montana,6.2,Incidence,536476,All Races,Female,Oral Cavity and Pharynx,2020,8.6
Nebraska,6.3,Incidence,926785,All Races,Female,Oral Cavity and Pharynx,2011,7.6
Nebraska,5.5,Incidence,932548,All Races,Female,Oral Cavity and Pharynx,2012,6.6
Nebraska,6.8,Incidence,937543,All Races,Female,Oral Cavity and Pharynx,2013,7.8
Nebraska,5.9,Incidence,943774,All Races,Female,Oral Cavity and Pharynx,2014,6.7
Nebraska,7.4,Incidence,949042,All Races,Female,Oral Cavity and Pharynx,2015,9.4
Nebraska,6.3,Incidence,955739,All Races,Female,Oral Cavity and Pharynx,2016,7.8
Nebraska,7.1,Incidence,960422,All Races,Female,Oral Cavity and Pharynx,2017,8.9
Nebraska,7.6,Incidence,964575,All Races,Female,Oral Cavity and Pharynx,2018,9.3
Nebraska,6.9,Incidence,967601,All Races,Female,Oral Cavity and Pharynx,2019,8.4
Nebraska,7.9,Incidence,969739,All Races,Female,Oral Cavity and Pharynx,2020,9.6
Nevada,6,Incidence,1345187,All Races,Female,Oral Cavity and Pharynx,2011,6.6
Nevada,5.6,Incidence,1361633,All Races,Female,Oral Cavity and Pharynx,2012,6.2
Nevada,6.2,Incidence,1379061,All Races,Female,Oral Cavity and Pharynx,2013,6.9
Nevada,5.8,Incidence,1401290,All Races,Female,Oral Cavity and Pharynx,2014,7.1
Nevada,6.4,Incidence,1427439,All Races,Female,Oral Cavity and Pharynx,2015,7.6
Nevada,5.1,Incidence,1453771,All Races,Female,Oral Cavity and Pharynx,2016,6.3
Nevada,7.1,Incidence,1480860,All Races,Female,Oral Cavity and Pharynx,2017,8.4
Nevada,4.8,Incidence,1510460,All Races,Female,Oral Cavity and Pharynx,2018,6.2
Nevada,5.8,Incidence,1541266,All Races,Female,Oral Cavity and Pharynx,2019,7.3
New Hampshire,7.8,Incidence,668935,All Races,Female,Oral Cavity and Pharynx,2011,9
New Hampshire,6.4,Incidence,670911,All Races,Female,Oral Cavity and Pharynx,2012,8.2
New Hampshire,6.8,Incidence,671812,All Races,Female,Oral Cavity and Pharynx,2013,9.1
New Hampshire,6.8,Incidence,674573,All Races,Female,Oral Cavity and Pharynx,2014,9.2
New Hampshire,5.9,Incidence,675463,All Races,Female,Oral Cavity and Pharynx,2015,8
New Hampshire,5.8,Incidence,678325,All Races,Female,Oral Cavity and Pharynx,2016,8.7
New Hampshire,6.2,Incidence,681670,All Races,Female,Oral Cavity and Pharynx,2017,8.1
